,ADA/USDT,DOT/USDT,BTC/USDT
2020-07-24,0.12195,,9513.0
2020-07-25,0.14131,,9650.0
2020-07-26,0.13,,9917.21
2020-07-27,0.13399,,10565.0
2020-07-28,0.138,,10812.0
2020-07-29,0.13687,,10831.0
2020-07-30,0.13552,,10960.0
2020-07-31,0.13814,,11220.0
2020-08-01,0.1258,,10518.5
2020-08-02,0.132,,10936.0
2020-08-03,0.13611,,11000.0
2020-08-04,0.1397,,11093.0
2020-08-05,0.13986,,11562.5
2020-08-06,0.1327,,11322.0
2020-08-07,0.13723,,11512.0
2020-08-08,0.142,,11521.97
2020-08-09,0.14162,,11450.0
2020-08-10,0.13131,,11125.0
2020-08-11,0.12336,,11150.0
2020-08-12,0.13161,,11270.36
2020-08-13,0.13739,,11634.03
2020-08-14,0.1362,,11680.0
2020-08-15,0.13483,,11686.0
2020-08-16,0.13731,,11769.78
2020-08-17,0.13374,2.0,11817.93
2020-08-18,0.1258,2.64,11561.0
2020-08-19,0.12605,2.6,11668.0
2020-08-20,0.1214,2.6826,11485.81
2020-08-21,0.1182,2.782,11376.81
2020-08-22,0.11929,3.7032,11514.13
2020-08-23,0.12,3.78,11585.09
2020-08-24,0.10485,4.48,11117.64
2020-08-25,0.11019,5.1015,11244.0
2020-08-26,0.10211,5.2001,11125.0
2020-08-27,0.10602,5.462,11276.89
2020-08-28,0.10799,6.0032,11417.04
2020-08-29,0.11369,5.6999,11458.0
2020-08-30,0.11296,5.7541,11570.0
2020-08-31,0.11896,6.12,11515.0
2020-09-01,0.11031,5.58,11160.1
2020-09-02,0.09222,5.5471,9960.8
2020-09-03,0.09215,4.5,9875.5
2020-09-04,0.0854,3.5321,9825.0
2020-09-05,0.0855,3.7298,9994.86
2020-09-06,0.08603,4.001,9875.0
2020-09-07,0.08845,4.1067,9850.0
2020-09-08,0.08925,4.077,9981.01
2020-09-09,0.09318,4.4308,10070.83
2020-09-10,0.09308,4.31,10200.0
2020-09-11,0.09446,4.4998,10269.25
2020-09-12,0.09234,4.7668,10200.0
2020-09-13,0.09293,5.0911,10212.34
2020-09-14,0.09286,5.012,10606.48
2020-09-15,0.08951,4.9578,10661.22
2020-09-16,0.09075,5.043,10745.83
2020-09-17,0.08963,5.0939,10812.84
2020-09-18,0.09044,4.7862,10887.37
2020-09-19,0.08751,4.3715,10723.0
2020-09-20,0.077,3.91,10296.35
2020-09-21,0.07906,3.9,10353.0
2020-09-22,0.07545,3.94,10136.82
2020-09-23,0.07549,3.9616,10190.93
2020-09-24,0.08233,4.241,10556.24
2020-09-25,0.09226,4.224,10644.68
2020-09-26,0.09419,4.1152,10594.82
2020-09-27,0.09957,4.2474,10626.0
2020-09-28,0.09735,4.331,10635.87
2020-09-29,0.09662,4.2288,10665.13
2020-09-30,0.09458,4.2317,10437.0
2020-10-01,0.08967,3.8882,10374.0
2020-10-02,0.09208,4.0263,10496.46
2020-10-03,0.09205,4.0111,10517.87
2020-10-04,0.09585,4.106,10615.64
2020-10-05,0.09122,3.606,10525.0
2020-10-06,0.08934,3.6,10546.17
2020-10-07,0.08975,3.6333,10530.41
2020-10-08,0.09485,4.0087,10829.0
2020-10-09,0.10133,4.23,11050.51
2020-10-10,0.10415,4.1683,11221.0
2020-10-11,0.10216,4.1899,11172.0
2020-10-12,0.10751,4.1302,11300.0
2020-10-13,0.10519,4.0836,11280.0
2020-10-14,0.10441,4.02,11250.83
2020-10-15,0.10218,3.8,11200.0
2020-10-16,0.10316,3.8607,11255.0
2020-10-17,0.10501,3.954,11346.22
2020-10-18,0.10598,3.9501,11407.96
2020-10-19,0.10058,3.8641,11677.59
2020-10-20,0.10128,3.8907,11886.95
2020-10-21,0.10507,4.1234,12678.08
2020-10-22,0.10515,4.185,12720.08
2020-10-23,0.10726,4.2381,12870.0
2020-10-24,0.10603,4.2588,12888.0
2020-10-25,0.09892,4.2906,12765.0
2020-10-26,0.10178,4.6429,13019.87
2020-10-27,0.09501,4.252,12888.0
2020-10-28,0.09484,3.8469,12920.77
2020-10-29,0.08915,3.9153,13115.0
2020-10-30,0.09196,4.0574,13411.5
2020-10-31,0.09241,4.1079,13603.0
2020-11-01,0.09151,3.96,13195.05
2020-11-02,0.08793,3.8842,13284.99
2020-11-03,0.09155,3.8915,13525.0
2020-11-04,0.09207,4.0105,14093.56
2020-11-05,0.09706,4.202,15166.0
